time,lat,lon,year,month,day,track,eddy_age,eddy_polarity,eddy_radius,eddy_A,eddy_U,sst,sst_std,sst_bkg,sst_bkg_std,chl,chl_std,chl_bkg,chl_bkg_std,sla,sla_std,sla_bkg,sla_bkg_std,NO3,NO3_std,NO3_bkg,NO3_bkg_std
2014-01-01,21.985700607299805,-155.78700256347656,2014,1,1,323332,46,-1,120,4.74306,16.8725,24.256243354312506,0.17339261428612415,24.50983709865625,0.5125643235039323,0.092068548875,0.0044805144995970535,0.09492898387499997,0.020530689755710214,-0.0404375,0.011682515425483821,0.025284375,0.03906995036886273,1.298672394511875e-06,7.982692031251546e-08,1.2172671461921092e-06,2.2912045614466443e-07
2014-01-01,22.87490081787109,-153.3179931640625,2014,1,1,146231,10,1,133,3.1665900000000002,16.5509,23.883743362750007,0.242428678205534,23.98264961046875,0.5337267542563027,0.0873671361875,0.0060767854823619285,0.08754014381249997,0.011912965166859949,0.08778749999999999,0.009758884840663694,0.0180140625,0.02929583570378789,1.228265155363125e-06,5.4057598137141157e-08,1.4335856866049997e-06,1.6942313339788219e-07
2014-01-01,22.901899337768555,-159.6179962158203,2014,1,1,143334,164,1,75,2.53812,11.2223,24.386868351374996,0.07077840856300183,24.453587099953126,0.5401480193113988,0.102795113375,0.005790548287243214,0.18085197800000005,0.5614962089986513,0.04121875,0.009975718436951464,0.005218749999999999,0.03302283421157365,1.3268572871528125e-06,9.730320363077166e-08,1.262854706852067e-06,2.2841497689838328e-07
2014-01-01,24.66469955444336,-151.21099853515628,2014,1,1,324102,8,-1,59,1.55724,10.0431,23.019993382,0.1791461187447952,23.05296213126563,0.43380076270193546,0.0860823293125,0.003408902823243036,0.08473062817187503,0.005899922591062911,-0.03,0.011437890248351457,0.030945312499999995,0.04300313362405228,1.5279223788425e-06,1.8264358508876805e-07,1.500217284622266e-06,2.600801159251585e-07
2014-01-01,24.8567008972168,-156.15899658203125,2014,1,1,145507,48,1,124,8.445,20.7394,23.88624336275,0.035753786865313546,23.57389961954687,0.4873238023612978,0.0966464971875,0.003709801081835471,0.09640835806250002,0.004888644660282972,0.12210625,0.016198825831934056,-0.005826562500000001,0.03288134146544907,1.38445579978e-06,6.571885240566459e-08,1.430413647974375e-06,1.2303863934432475e-07
2014-01-01,25.15419960021973,-153.9969940185547,2014,1,1,321520,136,-1,74,1.61152,10.4744,23.16561837875,0.07991401442556183,23.316555875375,0.4716206964366202,0.09146393418749997,0.0031360032711244016,0.09277890260937503,0.0038287821643432592,0.007331250000000002,0.009254600207464393,0.0556046875,0.02210310205685426,1.4719418253156255e-06,1.1828038183338966e-07,1.4107248418326564e-06,1.080456758465696e-07
2014-01-01,26.204200744628906,-158.55799865722656,2014,1,1,319585,238,-1,166,5.74524,15.620901000000002,22.710618388874998,0.20187351186992428,23.24155587699999,0.5505472443217331,0.0919632384375,0.003951180057654319,0.09740977720312502,0.004628012242069329,-0.04639375,0.01404148466746542,0.05301875,0.040159352722760736,1.3771218583243749e-06,1.0368274803918074e-07,1.5867892750876562e-06,1.8616012716281572e-07
2014-01-01,26.554399490356445,-152.63800048828125,2014,1,1,145354,56,1,74,1.70376,9.10068,22.911868384437494,0.14316511138213475,22.44561839482812,0.6631666907764382,0.09194136549999997,0.0037327247154078673,0.08719805817187501,0.0048345443323891905,0.0473,0.01332451374972709,0.007093750000000002,0.027694345735443646,1.502200600358125e-06,1.0837455927522929e-07,1.5867541005583594e-06,1.675951950126233e-07
2014-01-01,26.75589942932129,-150.96400451660156,2014,1,1,320824,174,-1,51,4.34077,13.5868,22.148743401437496,0.1638240889043435,22.319524647593738,0.5758979876595947,0.07787025818749999,0.0035710751336794537,0.08545410729687501,0.0058446763842555614,-0.03475,0.021977594651523318,0.022176562500000004,0.027124379838935037,1.5626605502928124e-06,2.3863060370513945e-07,1.6688396051739844e-06,2.2405326967347851e-07
2014-01-01,27.18090057373047,-154.8480072021484,2014,1,1,323941,17,-1,99,2.32171,9.66014,22.477493394062506,0.3786907184921932,22.558118392296876,0.971426478144248,0.0935683905,0.008976089468508449,0.09164412167187501,0.004469025481054533,0.01959375,0.01089528758990173,0.0701703125,0.03440122127625152,1.389204193458125e-06,7.320146943959047e-08,1.6834922584866403e-06,2.3832799077131318e-07
2014-01-01,29.3439998626709,-152.76800537109375,2014,1,1,143946,131,1,100,1.89478,6.95362,21.12561842425,0.08578801203595103,21.046087176093746,0.9013122809510238,0.098341566125,0.003911250682629164,0.09029665984375,0.007656366395012784,0.0941625,0.008242724064288411,0.018304687500000003,0.016814840664349462,1.8437293789478126e-06,1.1817840268003127e-07,2.5977844080317965e-06,1.9212364177965026e-06
2014-01-01,29.34510040283203,-155.6959991455078,2014,1,1,144049,125,1,63,2.97959,10.4181,21.2324934218125,0.14002380429910732,21.42061841765624,1.1246796470416691,0.098492779625,0.007475058697913214,0.094353853671875,0.006250155342448107,0.12079375,0.013599826898408373,0.041226562500000015,0.03925311530327122,2.0098962032487498e-06,2.2685530385292807e-07,2.932102948882735e-06,2.2286121818829075e-06
